Date	Time	Height
10/27/15	6:00	3.6
10/27/15	7:00	3.6
10/27/15	8:00	3.6125
10/27/15	9:00	3.6325
10/27/15	10:00	3.6425
10/27/15	11:00	3.655
10/27/15	12:00	3.6725
10/27/15	13:00	3.69
10/27/15	14:00	3.71
10/27/15	15:00	3.7275
10/27/15	16:00	3.75
10/27/15	17:00	3.77
10/27/15	18:00	3.8
10/27/15	19:00	3.835
10/27/15	20:00	3.8625
10/27/15	21:00	3.8925
10/27/15	22:00	3.92
10/27/15	23:00	3.95
